Cell,Site,contra,AltFreq,AltPos,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,a0,a0.1,a0.2,a0.3,a0.4,a0.5,a0.6,a0.7,a0.8,a0.9,a1,NA,NA.1,NA.2,NA.3,NA.4,NA.5,NA.6,NA.7,NA.8,NA.10,NA.11,NA.12,NA.13,NA.14
PSIC101410Loc_DoubleSound,0,1,903,-6,0.754803653,0.152651516,0.013322544,0.079222286,Mixture,0.754803653,0.1,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC101410Loc_DoubleSound,0,1,903,24,0.504094783,0.267592236,0.035915333,0.192397648,Mixture,0.504094783,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC101410Loc_DoubleSound,0,1,609,6,0.217922908,0.151417568,0.183890665,0.446768859,Single,0.446768859,0.14,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC101410Loc_DoubleSound,0,1,1100,24,0.288988138,0.354243894,0.024950295,0.331817673,Average,0.354243894,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC101510Loc_DoubleSound,0,1,1100,24,0.193383663,0.197981998,0.206825638,0.401808701,Single,0.401808701,0.07,0.07,0.08,0.09,0.09,0.08,0.1,0.1,0.11,0.1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102010Loc_DoubleSound,0,1,1100,24,0.183050988,0.200229606,0.206141894,0.410577513,Single,0.410577513,0.07,0.07,0.08,0.08,0.1,0.1,0.1,0.1,0.08,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102010Loc_DoubleSound,0,1,1100,-24,0.17236637,0.308808787,0.124402499,0.394422343,Single,0.394422343,0.07,0.07,0.08,0.08,0.08,0.1,0.1,0.1,0.11,0.13,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102010Loc_DoubleSound,0,1,1100,6,0.213885295,0.392305106,0.078252429,0.31555717,Average,0.392305106,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102110Loc_DoubleSound,0,1,1100,-6,0.190762432,0.782683846,0.000625583,0.025928139,Average,0.782683846,0.08,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102110Loc_DoubleSound,0,1,903,24,0.206877087,0.594264694,0.034141882,0.164716338,Average,0.594264694,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.09,0.1,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102110Loc_DoubleSound,0,1,903,-6,0.199806167,0.583735362,0.048175362,0.168283109,Average,0.583735362,0.09,0.09,0.09,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102110Loc_DoubleSound,0,1,1100,24,0.200131102,0.340962554,0.119101094,0.33980525,Average,0.340962554,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102210Loc_DoubleSound,0,1,609,6,0.122984993,0.518822771,0.092227868,0.265964367,Average,0.518822771,0.08,0.09,0.09,0.1,0.11,0.1,0.1,0.1,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102210Loc_DoubleSound,0,1,1100,-24,0.511956621,0.326568555,0.031552092,0.129922731,Mixture,0.511956621,0.08,0.08,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102210Loc_DoubleSound,0,1,1100,-6,0.226246218,0.243599106,0.165144998,0.365009677,Single,0.365009677,0.07,0.07,0.08,0.09,0.09,0.09,0.08,0.11,0.1,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102610Loc_DoubleSound,0,1,609,6,0.99448762,0.004390432,0.000102738,0.00101921,Mixture,0.99448762,0.11,0.11,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC102610Loc_DoubleSound,0,1,500,6,0.319561187,0.286760899,0.003794106,0.389883807,Single,0.389883807,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
